Species,Host,Year,Location,Region,Haplogroup,Approx.X,Approx.Y,Description
Vdestructor,Amellifera,2015-2016,Iran,Eshtehard,Korea,35.72438,50.36617,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Divandarreh,Korea,35.91365,47.02668,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Hashtgerd,Korea,35.96137,50.68456,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Taleghan,Korea,36.17482,50.76504,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Neyshabur,Korea,36.21408,58.79609,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Mashhad,Korea,36.26046,59.61675,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2006-2007,Spain,Cádiz,Korea,36.52706,-6.28859,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2015-2016,Iran,Sari,Korea,36.56587,53.05863,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2006-2007,Spain,Málaga,Korea,36.72127,-4.42139,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2006-2007,Spain,Almería,Korea,36.83404,-2.46371,Year: 2006-2007 Ref: Munoz et al. (2008)
Vdestructor,Amellifera,2015-2016,Iran,Kelachay,Korea,37.07745,50.39723,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2015-2016,Iran,Rudsar,Korea,37.13784,50.28361,Year: 2015-2016 Ref: Farjamfar et al. (2018)
Vdestructor,Amellifera,2006-2007,Spain,Granada,Korea,37.17733,-3.59855,Year: 2006-2007 Ref: Munoz et al. (2008)
