Species,Host,Year,Location,Region,Haplogroup,GROUP,coord.X,coord.Y,Coord.type,Description,Source
V. destructor,A. cerana,1996,"Korea, Republic of",Kwangju,VD_Korea_K1,VD_K_type,35.15954,126.8526,approximate,Year:1996 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,1996;1997,"Korea, Republic of",Suwon,VD_Korea_K1,VD_K_type,37.26357,127.0286,approximate,Year:1996;1997 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,1997,Nepal,Katmandu,VD_Nepal_1,VD_Nepal_1,27.71724,85.32396,approximate,Year:1997 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,1997,Sri Lanka,Horana,VD_Sri_Lanka_1,VD_Sri_Lanka_1,6.72298,80.06466,approximate,Year:1997 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,2003,Thailand,Bang Changtay,VD_Viet_Nam_V1,VD_Viet_Nam_V1,13.7137,100.204369,approximate,Year:2003 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,1997,Thailand,Bangkok,VD_Japan_J1,VD_Japan_J1,13.77083,100.79417,approximate,Year:1997 Ref:Anderson and Trueman (2000),Litterature
V. destructor,A. cerana,2013-2015,Thailand,Chiang Mai,VD_China_C2-like,VD_China_C2,18.7956,98.952287,approximate,Year:2013-2015 Ref:Dietemann et al. (2019),Litterature
V. destructor,A. cerana,2013-2015,Thailand,Chiang Mai,VD_Chiang_Mai_1,VD_K_type,18.7956,98.952287,approximate,Year:2013-2015 Ref:Dietemann et al. (2019),Litterature
V. destructor,A. cerana,2003,Thailand,Chiang Mai,VD_Viet_Nam_V1,VD_Viet_Nam_V1,18.80596,98.95336,approximate,Year:2003 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,2001,Thailand,"Chiang San, Chiang Rai",VD_Viet_Nam_V1,VD_Viet_Nam_V1,20.2666667,100,exact,Year:2001 Ref:Warrit et al. (2006),Litterature
V. destructor,A. cerana,2001,Thailand,"Mae Sruy, Chiang Rai",VD_Viet_Nam_V1,VD_Viet_Nam_V1,19.5833333,99.46666667,exact,Year:2001 Ref:Warrit et al. (2006),Litterature
V. destructor,A. cerana,2001,Thailand,"Mueang, Chiang Rai",VD_Viet_Nam_V1,VD_Viet_Nam_V1,20,99.95,exact,Year:2001 Ref:Warrit et al. (2006),Litterature
V. destructor,A. cerana,2013,Viet Nam,Cat Ba,VD_China_C1,VD_China_C1,20.793859,106.989642,approximate,Year:2013 Ref:Beaurepaire et al. (2015),Litterature
V. destructor,A. cerana,2013,Viet Nam,Dien Bien,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.23,103.01,exact,Year:2013 Ref:Beaurepaire et al. (2015),Litterature
V. destructor,A. cerana,2013,Viet Nam,Dien Bien,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.23,103.01,exact,Year:2013 Ref:Beaurepaire et al. (2015),Litterature
V. destructor,A. cerana,1996,Viet Nam,Hanoi,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.00555,105.84346,approximate,Year:1996 Ref:Navajas et al. (2010),Litterature
V. destructor,A. cerana,1999?,Viet Nam,Hanoi,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.00555,105.84346,approximate,Year:1999? Ref:Fuchs et al. (2000) ,Litterature
V. destructor,A. cerana,1999?,Viet Nam,Moc Chau,VD_Korea_K1,VD_K_type,20.92208,104.75209,approximate,Year:1999? Ref:Fuchs et al. (2000) ,Litterature
V. destructor,A. cerana,1999?,Viet Nam,Moc Chau,VD_Viet_Nam_V1,VD_Viet_Nam_V1,20.92208,104.75209,approximate,Year:1999? Ref:Fuchs et al. (2000) ,Litterature
V. destructor,A. cerana,2013,Viet Nam,NA,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.19,103.54,exact,Year: 2013 Accession: KR528382,NCBI
V. destructor,A. cerana,2013,Viet Nam,NA,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.19,103.54,exact,Year: 2013 Accession: KR528383,NCBI
V. destructor,A. cerana,2013,Viet Nam,NA,VD_Viet_Nam_V1,VD_Viet_Nam_V1,21.23,103.01,exact,Year: 2013 Accession: KR528379,NCBI
