Species,Host,Year,Location,Haplogroup,GROUP,Description
V. destructor,A. mellifera,1993;1997,Indonesia,VD_Korea_K1,VD_K_type,Year:1993;1997 Ref:Anderson and Fuchs (1998)
V. destructor,A. mellifera,"1994;1996,1997",Indonesia,VD_Korea_K1,VD_K_type,"Year:1994;1996,1997 Ref:Anderson and Trueman (2000)"
V. jacobsoni,A. mellifera,2008,Indonesia,VJ_Java_1,VJ_Java_1,Year:2008 Ref:Roberts et al. (2015)
V. jacobsoni,A. nigrocincta,1996,Indonesia,VJ_Java_1,VJ_Java_1,Year:1996 Ref:Anderson and Trueman (2000)
V. jacobsoni,A. nigrocincta,1997,Indonesia,VJ_Java_1,VJ_Java_1,Year:1997 Ref:Anderson and Trueman (2000)
V. jacobsoni,NA,NA,Indonesia,VJ_Ambon_1,VJ_Ambon_1,Year: NA Accession: AF106908
V. jacobsoni,NA,NA,Indonesia,VJ_Bali_1,VJ_Bali_1,Year: NA Accession: AF106909
V. jacobsoni,NA,NA,Indonesia,VJ_Flores_1,VJ_Flores_1,Year: NA Accession: AF106902
V. jacobsoni,NA,NA,Indonesia,VJ_Java_1,VJ_Java_1,Year: NA Accession: AF106910
V. jacobsoni,NA,NA,Indonesia,VJ_Lombok_1,VJ_Lombok_1,Year: NA Accession: AF106904
V. jacobsoni,NA,NA,Indonesia,VJ_Sumatra_1,VJ_Sumatra_1,Year: NA Accession: AF106905
V. jacobsoni,NA,NA,Indonesia,VJ_Sumbawa_1,VJ_Sumbawa_1,Year: NA Accession: AF106903
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,Year: NA Accession: KU543608
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,Year: NA Accession: KX375136
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,Year: NA Accession: KX375137
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,Year: NA Accession: KX375138
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,Year: NA Accession: KX375139
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,Year: NA Accession: KX375140
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747653
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747654
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747655
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747656
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747657
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747658
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747659
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747660
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747661
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747662
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747663
V. destructor,Apis mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year: NA Accession: MH747664
V. destructor,A. mellifera,NA,Iran (Islamic Republic of),VD_Iran_1,VD_K_type,"Year:NA Ref:Hajializadeh,Z. and Asadi-Zeidabadi,M."
V. destructor,A. mellifera,2015-2016,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year:2015-2016 Ref:Farjamfar et al. (2018)
V. destructor,A. mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,Year:NA Ref:Hajializadeh et al. (2019)
V. destructor,A. mellifera,NA,Iran (Islamic Republic of),VD_Korea_K1,VD_K_type,"Year:NA Ref:Hajializadeh,Z. and Asadi-Zeidabadi,M."
V. destructor,A. mellifera,2017,Iraq,VD_Korea_K1,VD_K_type,"Year:2017 Ref:Mahdi,M.S., Ali,M.B. and AL-Abedy,A.N."
V. destructor,Apis mellifera,2017,Iraq,VD_Iran_1,VD_K_type,Year: 2017 Accession: MK482687
V. destructor,A. mellifera,2005?,Israel,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1996,Israel,VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1992,Italy,VD_Korea_K1,VD_K_type,Year:1992 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,1992;1996,Italy,VD_Korea_K1,VD_K_type,Year:1992;1996 Ref:Anderson and Trueman (2000)
V. destructor,A. cerana,1994,Japan,VD_Japan_J1,VD_Japan_J1,Year:1994 Ref:Anderson and Trueman (2000)
V. destructor,A. cerana,1994,Japan,VD_Japan_J1,VD_Japan_J1,Year:1994 Ref:Navajas et al. (2010)
V. destructor,A. cerana,1996,Japan,VD_Japan_J1,VD_Japan_J1,Year:1996 Ref:Navajas et al. (2010)
V. destructor,A. cerana,1998,Japan,VD_Japan_J1,VD_Japan_J1,Year:1998 Ref:Navajas et al. (2010)
V. destructor,A. cerana,2018,Japan,VD_Japan_J1,VD_Japan_J1,Year:2018 Ref:Ogihara et al. (2020)
V. destructor,A. cerana,2005?,Japan,VD_Japan_J1,VD_Japan_J1,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. cerana,1995-1996,Japan,VD_Japan_J1,VD_Japan_J1,Year:1995-1996 Ref:de Guzman et al. (1997)
V. destructor,A. cerana,2018,Japan,VD_Korea_K1,VD_K_type,Year:2018 Ref:Ogihara et al. (2020)
V. destructor,A. cerana,2005?,Japan,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1996,Japan,VD_Japan_J1,VD_Japan_J1,Year:1996 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,2005?,Japan,VD_Japan_J1,VD_Japan_J1,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,1995-1996,Japan,VD_Japan_J1,VD_Japan_J1,Year:1995-1996 Ref:de Guzman et al. (1997)
V. destructor,A. mellifera,1995;1996,Japan,VD_Japan_J1,VD_Japan_J1,Year:1995;1996 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,2000,Japan,VD_Korea_K1,VD_K_type,Year:2000 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,2018,Japan,VD_Korea_K1,VD_K_type,Year:2018 Ref:Ogihara et al. (2020)
V. destructor,A. mellifera,2005?,Japan,VD_Korea_K1,VD_K_type,Year:2005? Ref:Solignac et al. (2005)
V. destructor,A. mellifera,2016,Japan,VD_Korea_K1,VD_K_type,Year:2016 Ref:Techer et al. (2019)
V. destructor,A. mellifera,NA,Japan,COMBINED,KoreaJapan,NA
V. destructor,Apis cerana,NA,Japan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: GQ379070
V. destructor,Apis cerana,NA,Japan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: GQ379071
V. destructor,Apis cerana,NA,Japan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: GQ379072
V. destructor,Apis mellifera,NA,Japan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: GQ379074
V. destructor,NA,NA,Japan,VD_Japan_J1,VD_Japan_J1,Year: NA Accession: AF106897
V. destructor,A. mellifera,2009,Kenya,VD_Korea_K1,VD_K_type,Year:2009 Ref:Fazier et al. (2010)
V. destructor,A. cerana,1996,"Korea, Republic of",VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,A. cerana,1996;1997,"Korea, Republic of",VD_Korea_K1,VD_K_type,Year:1996;1997 Ref:Anderson and Trueman (2000)
V. destructor,A. mellifera,1996,"Korea, Republic of",VD_Korea_K1,VD_K_type,Year:1996 Ref:Navajas et al. (2010)
V. destructor,A. mellifera,1996,"Korea, Republic of",VD_Korea_K1,VD_K_type,Year:1996 Ref:Anderson and Trueman (2000)
V. destructor,NA,NA,"Korea, Republic of",VD_Korea_K3,VD_K_type,"Year:NA Ref:Kim,S. and Yoon,B."
